Date,Manufacturer,HQ,Units Sold,Revenue (M$)
2023-09-30,Lucid,USA,6372.0,286739.7723863837
2023-09-30,GM,Germany,5118.0,230310.17984792058
2023-09-30,Hyundai,South Korea,3818.0,171809.98064925015
2023-09-30,BYD,Sweden,2902.0,130589.77319437088
2023-09-30,Lucid,Germany,2825.0,127125.21435418715
2023-09-30,Nissan,Japan,1992.0,89639.73757558371
2023-09-30,Polestar,China,1619.0,72855.29280598278
2023-09-30,Polestar,Sweden,886.0,39870.10160496382
2023-09-30,Mercedes-Benz,Sweden,497.0,22364.737023164846
2023-09-30,Polestar,Germany,46.0,2070.0938984714853
2023-10-31,BYD,Sweden,24831.0,1117394.4155663732
2023-10-31,Ford,Germany,20233.0,910485.2857009484
2023-10-31,Nissan,Japan,8073.0,363284.85169755714
2023-10-31,Lucid,Germany,4646.0,209070.58621098287
2023-10-31,Mercedes-Benz,Sweden,4352.0,195839.75192286438
2023-10-31,Polestar,Germany,3615.0,162674.71537360447
2023-10-31,Rivian,South Korea,937.0,42165.132128311016
2023-10-31,GM,Germany,811.0,36494.86603543972
2023-10-31,Kia,USA,737.0,33164.998191943465
2023-10-31,Hyundai,South Korea,207.0,9314.879599019656
2023-10-31,Lucid,USA,15.0,675.0045659184343
2023-10-31,Polestar,China,11.0,495.0646534642432
2023-11-30,BYD,Sweden,52295.0,2353275.109164119
2023-11-30,Lucid,Germany,51279.0,2307555.0358391036
2023-11-30,Kia,USA,11125.0,500625.19449524995
2023-11-30,Polestar,Germany,5935.0,267075.0557796963
2023-11-30,Polestar,Sweden,1989.0,89505.1509992199
2023-11-30,Hyundai,South Korea,954.0,42930.07894344346
2023-11-30,Rivian,South Korea,898.0,40410.3013922588
2023-11-30,Lucid,USA,609.0,27405.046519720632
2023-11-30,Ford,Germany,538.0,24210.166784052515
2023-11-30,GM,Germany,337.0,15165.147738586817
2023-11-30,Mercedes-Benz,Sweden,160.0,7199.585295280302
2023-12-31,Lucid,USA,28489.0,1282004.799424904
2023-12-31,Nissan,Japan,17396.0,782820.0871334047
2023-12-31,Lucid,Germany,6108.0,274859.908771699
2023-12-31,Polestar,China,5399.0,242955.09826577266
2023-12-31,Polestar,Germany,4055.0,182474.96698989987
2023-12-31,GM,Germany,1289.0,58004.88070854198
2023-12-31,BYD,Sweden,1215.0,54674.58216153768
2023-12-31,Rivian,South Korea,1011.0,45494.718681210165
2023-12-31,Kia,USA,635.0,28575.159802756487
2023-12-31,Hyundai,South Korea,575.0,25874.76154198043
2023-12-31,Mercedes-Benz,Sweden,335.0,15075.154200029261
2023-12-31,Ford,Germany,303.0,13635.002151874502
2023-12-31,Polestar,Sweden,268.0,12059.85551341377
2024-01-31,Rivian,South Korea,23245.0,1046025.0632457508
2024-01-31,Polestar,Sweden,21427.0,964215.0337116707
2024-01-31,Hyundai,South Korea,16543.0,744435.1670103052
2024-01-31,GM,Germany,11341.0,510344.88260843174
2024-01-31,BYD,Sweden,8746.0,393570.27529020706
2024-01-31,Mercedes-Benz,Sweden,8257.0,371564.9517924205
2024-01-31,Ford,Germany,5612.0,252539.90853633004
2024-01-31,Polestar,Germany,3730.0,167849.92882750972
2024-01-31,Lucid,Germany,649.0,29204.830796953866
2024-01-31,Lucid,USA,316.0,14219.991228895251
2024-01-31,Polestar,China,263.0,11835.765539157877
2024-01-31,Kia,USA,130.0,5849.688027956263
2024-01-31,Nissan,Japan,95.0,4275.213444477778
2024-02-29,Rivian,South Korea,49261.0,2216745.3340778006
2024-02-29,Nissan,Japan,15541.0,699344.9567230504
2024-02-29,BYD,Sweden,5342.0,240389.8892398204
2024-02-29,Lucid,USA,4202.0,189089.5869473163
2024-02-29,Polestar,China,2566.0,115469.84538122056
2024-02-29,Lucid,Germany,1708.0,76859.93354064849
2024-02-29,Polestar,Sweden,1432.0,64440.11883316843
2024-02-29,Mercedes-Benz,Sweden,996.0,44820.16685072759
2024-02-29,Kia,USA,914.0,41129.780270944015
2024-02-29,GM,Germany,701.0,31544.76159767209
2024-02-29,Hyundai,South Korea,316.0,14219.947731019807
2024-03-31,BYD,Sweden,96335.0,4335075.176380933
2024-03-31,GM,Germany,53797.0,2420865.11286901
2024-03-31,Lucid,Germany,13992.0,629639.6151280447
2024-03-31,Mercedes-Benz,Sweden,11131.0,500894.8562678364
2024-03-31,Polestar,Sweden,8190.0,368549.81830982055
2024-03-31,Nissan,Japan,4229.0,190304.92474025892
2024-03-31,Polestar,China,2664.0,119879.85346437323
2024-03-31,Polestar,Germany,1800.0,80999.93183744559
2024-03-31,Lucid,USA,1216.0,54720.09938734277
2024-03-31,Ford,Germany,640.0,28799.73970878133
2024-03-31,Hyundai,South Korea,358.0,16109.944134170755
2024-04-30,Lucid,Germany,9034.0,406530.8859365057
2024-04-30,Polestar,Germany,5934.0,267030.26010113047
2024-04-30,GM,Germany,5876.0,264419.8427628832
2024-04-30,Hyundai,South Korea,5148.0,231660.18194364663
2024-04-30,BYD,Sweden,3641.0,163844.95977878355
2024-04-30,Mercedes-Benz,Sweden,278.0,12509.600160079868
2024-04-30,Polestar,Sweden,140.0,6299.990070966107
2024-04-30,Nissan,Japan,104.0,4680.076398945527
2024-04-30,Rivian,South Korea,61.0,2744.8310052959077
2024-04-30,Polestar,China,37.0,1665.0430837526271
2024-04-30,Lucid,USA,10.0,450.08617915126956
2024-05-31,Rivian,South Korea,2907.0,130814.75806204777
2024-05-31,Kia,USA,2887.0,129914.74350858199
2024-05-31,GM,Germany,2492.0,112140.17342494334
2024-05-31,Ford,Germany,1265.0,56924.90985904937
2024-05-31,BYD,Sweden,1002.0,45090.25536956399
2024-05-31,Polestar,China,712.0,32039.99309401254
2024-05-31,Polestar,Sweden,370.0,16649.944463675827
2024-05-31,Polestar,Germany,361.0,16245.14350051663
2024-05-31,Hyundai,South Korea,202.0,9089.976119500185
2024-05-31,Lucid,Germany,194.0,8729.919312530319
2024-05-31,Lucid,USA,107.0,4814.784761453486
2024-06-30,Lucid,Germany,111997.0,5039864.727776669
2024-06-30,Ford,Germany,52945.0,2382525.1728376993
2024-06-30,Lucid,USA,3274.0,147330.19122378904
2024-06-30,BYD,Sweden,1800.0,80999.86233714271
2024-06-30,Mercedes-Benz,Sweden,1787.0,80415.04558894437
2024-06-30,Polestar,Germany,1606.0,72270.23961297846
2024-06-30,Rivian,South Korea,359.0,16154.876873911891
2024-06-30,Polestar,China,139.0,6255.136071289846
2024-06-30,Nissan,Japan,39.0,1755.1445051580658
2024-06-30,Hyundai,South Korea,26.0,1169.82407403386
2024-07-31,Lucid,Germany,18446.0,830070.35316648
2024-07-31,Polestar,Germany,18109.0,814904.834958644
2024-07-31,Lucid,USA,6879.0,309554.84951408196
2024-07-31,Rivian,South Korea,6383.0,287234.73166085925
2024-07-31,BYD,Sweden,6295.0,283275.16004345706
2024-07-31,Kia,USA,4550.0,204750.10673885728
2024-07-31,Polestar,Sweden,4494.0,202230.039423936
2024-07-31,Mercedes-Benz,Sweden,4342.0,195390.02651392526
2024-07-31,Nissan,Japan,1904.0,85680.14861273923
2024-07-31,Polestar,China,1420.0,63899.97360276822
2024-07-31,GM,Germany,535.0,24075.0648018648
2024-07-31,Hyundai,South Korea,21.0,945.2131656449154
2024-08-31,Rivian,South Korea,11355.0,510974.721225359
2024-08-31,GM,Germany,6156.0,277019.7830655457
2024-08-31,Lucid,USA,5994.0,269730.0195751484
2024-08-31,BYD,Sweden,5803.0,261135.31301598292
2024-08-31,Lucid,Germany,4803.0,216135.00025150497
2024-08-31,Hyundai,South Korea,4521.0,203445.22501733724
2024-08-31,Mercedes-Benz,Sweden,4129.0,185804.50097306393
2024-08-31,Kia,USA,2162.0,97290.16641151565
2024-08-31,Polestar,Sweden,877.0,39464.98064547441
2024-08-31,Polestar,Germany,675.0,30374.948398381184
2024-09-30,Polestar,China,16046.0,722070.2942986205
2024-09-30,Polestar,Sweden,12425.0,559124.5682346408
2024-09-30,BYD,Sweden,12355.0,555975.325625784
2024-09-30,Polestar,Germany,7732.0,347940.1971372891
2024-09-30,Lucid,Germany,6742.0,303390.3672703615
2024-09-30,Lucid,USA,6058.0,272610.14125309273
2024-09-30,Ford,Germany,4104.0,184679.81318888135
2024-09-30,GM,Germany,1896.0,85319.91721565384
2024-09-30,Mercedes-Benz,Sweden,1281.0,57645.07447866188
2024-09-30,Kia,USA,1145.0,51524.87289038357
2024-09-30,Hyundai,South Korea,311.0,13994.893108943275
2024-09-30,Nissan,Japan,60.0,2700.0208603187725
2024-10-31,Hyundai,South Korea,28390.0,1277550.0831768985
2024-10-31,Polestar,Sweden,7487.0,336915.00043976353
2024-10-31,Ford,Germany,6304.0,283680.2933175102
2024-10-31,Polestar,China,4677.0,210465.19076787535
2024-10-31,Mercedes-Benz,Sweden,3801.0,171045.13734304218
2024-10-31,Lucid,Germany,3204.0,144180.0053928848
2024-10-31,Nissan,Japan,3080.0,138600.32273661136
2024-10-31,Rivian,South Korea,1983.0,89234.77813874285
2024-10-31,BYD,Sweden,1510.0,67949.96055850213
2024-10-31,Polestar,Germany,245.0,11025.045184372939
2024-10-31,Kia,USA,28.0,1260.3074746693399
2024-10-31,Lucid,USA,12.0,539.9537243362784
2024-11-30,Lucid,Germany,30503.0,1372635.187391778
2024-11-30,Polestar,Germany,29787.0,1340414.8467506287
2024-11-30,Kia,USA,10829.0,487305.0036701973
2024-11-30,Polestar,China,5622.0,252990.14519421436
2024-11-30,Rivian,South Korea,2298.0,103409.79627219542
2024-11-30,GM,Germany,1918.0,86309.73019125665
2024-11-30,Polestar,Sweden,1822.0,81990.20411211507
2024-11-30,Mercedes-Benz,Sweden,194.0,8729.941678792886
2024-11-30,Nissan,Japan,144.0,6479.720976681791
2024-11-30,Lucid,USA,141.0,6345.05475488505
2024-11-30,Ford,Germany,28.0,1259.8917790201165
2024-12-31,Polestar,China,31064.0,1397880.1810408246
2024-12-31,Lucid,Germany,29873.0,1344285.2588894549
2024-12-31,Kia,USA,2879.0,129555.02312585375
2024-12-31,BYD,Sweden,2037.0,91664.93548330893
2024-12-31,Ford,Germany,1955.0,87974.81382992047
2024-12-31,Rivian,South Korea,1440.0,64800.19425069634
2024-12-31,Hyundai,South Korea,1197.0,53864.831500840824
2024-12-31,Lucid,USA,1183.0,53235.191247414325
2024-12-31,GM,Germany,743.0,33434.965910117746
2024-12-31,Polestar,Sweden,211.0,9495.186283099243
2024-12-31,Nissan,Japan,152.0,6839.887374187411
2025-01-31,GM,Germany,7059.0,317654.7776944071
2025-01-31,Hyundai,South Korea,4228.0,190260.26534014195
2025-01-31,Lucid,USA,4061.0,182744.68076014103
2025-01-31,Kia,USA,4031.0,181395.01063256979
2025-01-31,Lucid,Germany,1278.0,57510.16334159439
2025-01-31,Nissan,Japan,1167.0,52514.96033606993
2025-01-31,Ford,Germany,1043.0,46935.253134629165
2025-01-31,Polestar,China,762.0,34290.344207321454
2025-01-31,Polestar,Sweden,585.0,26325.3108660458
2025-01-31,Mercedes-Benz,Sweden,502.0,22590.093833850206
2025-01-31,BYD,Sweden,289.0,13005.025440556139
2025-02-28,Lucid,Germany,20403.0,918135.0540033443
2025-02-28,Polestar,China,11867.0,534015.2549732771
2025-02-28,Kia,USA,9232.0,415439.85286213347
2025-02-28,Lucid,USA,8375.0,376875.29743913317
2025-02-28,BYD,Sweden,1405.0,63225.25546509923
2025-02-28,Nissan,Japan,1200.0,53999.89576107932
2025-02-28,Ford,Germany,549.0,24705.191755665342
2025-02-28,Polestar,Germany,396.0,17819.987299104505
2025-02-28,Hyundai,South Korea,387.0,17414.614968394213
2025-02-28,Rivian,South Korea,320.0,14400.303253036916
2025-02-28,Polestar,Sweden,154.0,6930.243018129776
2025-03-31,Polestar,Sweden,50471.0,2271195.196949759
2025-03-31,Polestar,China,29115.0,1310174.777767825
2025-03-31,Mercedes-Benz,Sweden,9069.0,408104.5970089753
2025-03-31,Ford,Germany,4859.0,218654.7800237841
2025-03-31,GM,Germany,1630.0,73349.4166563138
2025-03-31,Lucid,USA,1617.0,72765.25444964806
2025-03-31,Lucid,Germany,989.0,44505.32733204612
2025-03-31,Hyundai,South Korea,988.0,44459.8906361768
2025-03-31,Polestar,Germany,671.0,30194.956169983998
2025-03-31,BYD,Sweden,588.0,26459.797217332743
2025-04-30,GM,Germany,104238.0,4690710.127350627
2025-04-30,BYD,Sweden,15999.0,719955.0942802469
2025-04-30,Lucid,Germany,7310.0,328950.12423970277
2025-04-30,Polestar,Sweden,7282.0,327689.69917182554
2025-04-30,Polestar,Germany,4685.0,210825.1778232367
2025-04-30,Mercedes-Benz,Sweden,4422.0,198990.23558458325
2025-04-30,Lucid,USA,3866.0,173970.09264331803
2025-04-30,Ford,Germany,3584.0,161280.29260857924
2025-04-30,Hyundai,South Korea,2474.0,111329.97918968528
2025-04-30,Nissan,Japan,1619.0,72855.21447783546
2025-04-30,Rivian,South Korea,1343.0,60434.92341189479
2025-04-30,Polestar,China,526.0,23669.83537074953
2025-05-31,BYD,Sweden,56713.0,2552084.7030203054
2025-05-31,Hyundai,South Korea,22292.0,1003140.0947640513
2025-05-31,Mercedes-Benz,Sweden,11226.0,505169.7092206022
2025-05-31,Nissan,Japan,6454.0,290429.86072183057
2025-05-31,Kia,USA,3801.0,171045.19974280024
2025-05-31,Lucid,Germany,2443.0,109935.31932134792
2025-05-31,Polestar,Germany,1012.0,45539.81671873046
2025-05-31,GM,Germany,826.0,37169.66383184337
2025-05-31,Rivian,South Korea,485.0,21825.219093853702
2025-05-31,Polestar,China,274.0,12330.003397353383
2025-05-31,Polestar,Sweden,171.0,7695.100997827495
2025-05-31,Lucid,USA,39.0,1755.3258102503773
2025-06-30,Polestar,Sweden,41156.0,1852019.7845112903
2025-06-30,Lucid,USA,18898.0,850410.0732504609
2025-06-30,Hyundai,South Korea,10313.0,464084.7591222777
2025-06-30,Lucid,Germany,7305.0,328725.1036351426
2025-06-30,Kia,USA,3604.0,162180.0676318738
2025-06-30,Ford,Germany,2950.0,132749.62478083724
2025-06-30,Rivian,South Korea,2688.0,120960.03767110498
2025-06-30,Polestar,Germany,2132.0,95940.26303652288
2025-06-30,Nissan,Japan,681.0,30644.673679878437
2025-06-30,Mercedes-Benz,Sweden,341.0,15345.271541633329
2025-06-30,Polestar,China,180.0,8099.936084733546
2025-07-31,Kia,USA,40804.0,1836179.8061299187
2025-07-31,Lucid,Germany,20535.0,924075.3970977012
2025-07-31,GM,Germany,13620.0,612900.0919734734
2025-07-31,Rivian,South Korea,7978.0,359009.766175478
2025-07-31,Hyundai,South Korea,6266.0,281970.1410481068
2025-07-31,BYD,Sweden,3401.0,153044.92484359612
2025-07-31,Polestar,Germany,1688.0,75960.40656045242
2025-07-31,Polestar,Sweden,1662.0,74790.17450613038
2025-07-31,Mercedes-Benz,Sweden,811.0,36495.10909222378
2025-07-31,Ford,Germany,807.0,36314.8279558747
2025-07-31,Nissan,Japan,637.0,28665.07864335639
2025-07-31,Polestar,China,377.0,16965.10351590567
2025-08-31,Lucid,Germany,16180.0,728100.7020108318
2025-08-31,BYD,Sweden,13989.0,629505.3012596642
2025-08-31,Kia,USA,11783.0,530235.0926317668
2025-08-31,Ford,Germany,8143.0,366434.8688066328
2025-08-31,Polestar,China,2766.0,124469.90963332792
2025-08-31,Hyundai,South Korea,2012.0,90540.15308921298
2025-08-31,Nissan,Japan,1429.0,64304.84814743392
2025-08-31,Polestar,Germany,276.0,12420.322853373906
2025-08-31,Lucid,USA,36.0,1619.993087436496
2025-08-31,Rivian,South Korea,26.0,1170.0322193953475
2025-09-30,Polestar,Sweden,27857.0,1253565.5012433573
2025-09-30,BYD,Sweden,16453.0,740384.774793191
2025-09-30,Mercedes-Benz,Sweden,9222.0,414989.82074760104
2025-09-30,Lucid,Germany,4278.0,192509.97816306917
2025-09-30,GM,Germany,1100.0,49499.87570573117
2025-09-30,Rivian,South Korea,790.0,35549.78253016879
2025-09-30,Nissan,Japan,258.0,11609.862007860898
2025-09-30,Ford,Germany,72.0,3240.040224848281
2025-09-30,Polestar,Germany,58.0,2609.9740631435207
2025-09-30,Lucid,USA,9.0,404.9208055636921
2025-10-31,GM,Germany,52937.0,2382165.123233285
2025-10-31,Lucid,Germany,40517.0,1823264.626869317
2025-10-31,Ford,Germany,38721.0,1742444.9476491995
2025-10-31,Rivian,South Korea,12703.0,571634.8156144549
2025-10-31,Polestar,Germany,5235.0,235574.46085189402
2025-10-31,Hyundai,South Korea,2151.0,96794.96291573966
2025-10-31,Polestar,Sweden,1646.0,74069.81298651829
2025-10-31,Kia,USA,1441.0,64844.99821039538
2025-10-31,Lucid,USA,1107.0,49814.97027378505
2025-10-31,Nissan,Japan,917.0,41264.78944649959
2025-10-31,Mercedes-Benz,Sweden,850.0,38250.18478243314
2025-10-31,BYD,Sweden,522.0,23490.15840495758
2025-10-31,Polestar,China,227.0,10214.862711395488
